,player_name,season,headcoach,generalmanager,arena,nickname
0,Royce O'Neale,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
1,Bojan Bogdanovic,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
2,Rudy Gobert,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
3,Donovan Mitchell,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
4,Mike Conley,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
5,Joe Ingles,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
6,Ed Davis,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
7,Jeff Green,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
8,Dante Exum,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
9,Emmanuel Mudiay,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
10,Georges Niang,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
11,Tony Bradley,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
12,Nigel Williams-Goss,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
13,Miye Oni,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
14,Juwan Morgan,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
15,Stanton Kidd,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
16,Justin Wright-Foreman,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
17,Jarrell Brantley,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
18,Kyle Collinsworth,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
19,William Howard,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
20,Trevon Bluiett,2019,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
21,Joe Ingles,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
22,Jae Crowder,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
23,Rudy Gobert,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
24,Donovan Mitchell,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
25,Ricky Rubio,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
26,Royce O'Neale,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
27,Thabo Sefolosha,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
28,Georges Niang,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
29,Derrick Favors,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
30,Grayson Allen,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
31,Kyle Korver,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
32,Raul Neto,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
33,Ekpe Udoh,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
34,Naz Mitrou-Long,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
35,Tony Bradley,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
36,Tyler Cavanaugh,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
37,Dante Exum,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
38,Alec Burks,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
39,Jairus Lyles,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
40,Isaiah Cousins,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
41,Isaac Haas,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
42,Trey Lewis,2018,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
43,Joe Ingles,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
44,Jae Crowder,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
45,Rudy Gobert,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
46,Royce O'Neale,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
47,Donovan Mitchell,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
48,Raul Neto,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
49,Derrick Favors,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
50,Alec Burks,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
51,Jonas Jerebko,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
52,Tony Bradley,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
53,David Stockton,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
54,Ekpe Udoh,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
55,Dante Exum,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
56,Ricky Rubio,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
57,Georges Niang,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
58,Erik McCree,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
59,Naz Mitrou-Long,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
60,Rodney Hood,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
61,Joe Johnson,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
62,Thabo Sefolosha,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
63,Nate Wolters,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
64,Joel Bolomboy,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
65,Torian Graham,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
66,Eric Griffin,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
67,Taylor Braun,2017,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
68,Gordon Hayward,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
69,Boris Diaw,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
70,Rudy Gobert,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
71,Joe Ingles,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
72,Shelvin Mack,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
73,Joe Johnson,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
74,Rodney Hood,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
75,Raul Neto,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
76,Dante Exum,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
77,Derrick Favors,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
78,Trey Lyles,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
79,Joel Bolomboy,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
80,Jeff Withey,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
81,George Hill,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
82,Alec Burks,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
83,Chris Johnson,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
84,Henry Sims,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
85,Marcus Paige,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
86,Eric Dawson,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
87,Quincy Ford,2016,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
88,Gordon Hayward,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
89,Trey Lyles,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
90,Jeff Withey,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
91,Rodney Hood,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
92,Shelvin Mack,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
93,Raul Neto,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
94,Trevor Booker,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
95,Joe Ingles,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
96,Chris Johnson,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
97,Trey Burke,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
98,Alec Burks,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
99,Derrick Favors,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
100,Tibor Pleiss,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
101,Rudy Gobert,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
102,Erick Green,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
103,JJ O'Brien,2015,Quin Snyder,Dennis Lindsey,Vivint Smart Home Arena,Jazz
